Price,Open,High,Low,Vol.,Change %
2329.45,2344.53,2366.98,2292.93,-,-0.01
2378.95,2329.45,2383.76,2329.45,-,0.02
2412.74,2378.97,2412.74,2375.12,-,0.01
2363.85,2412.78,2429.9,2330.46,-,-0.02
2339.29,2363.96,2374.21,2309.98,-,-0.01
2382.76,2339.35,2389.19,2339.35,-,0.02
2317.53,2382.76,2401.41,2301.06,-,-0.03
2327.74,2317.53,2330.21,2296.85,-,0
2406.21,2327.74,2409.17,2325.89,-,0.03
2432.82,2406.39,2437.47,2396.53,-,0.01
2431.19,2432.82,2463.51,2406.1,-,0
2439.71,2431.19,2457.22,2416.99,-,0
2416.63,2439.71,2468.88,2398.47,-,-0.01
2414.77,2416.63,2474.43,2405.66,-,0
2440.42,2414.77,2451.93,2398.31,-,0.01
2488.05,2446.82,2497.45,2424.9,-,0.02
2454.97,2488.05,2488.05,2448.84,-,-0.01
2494.46,2454.97,2500.35,2454.97,-,0.02
2486.70,2494.59,2512.1,2474.27,-,0
2510.60,2486.7,2511.38,2444.64,-,0.01
2545.45,2510.6,2545.59,2501.46,-,0.01
2567.15,2545.45,2572.43,2540.91,-,0.01
2592.26,2567.15,2596.49,2559.42,-,0.01
2654.61,2592.26,2661.9,2557.64,-,0.02
2695.54,2654.81,2698.27,2651.06,-,0.02
2695.72,2695.95,2717.66,2668.74,-,0
2689.16,2695.73,2711.03,2660.87,-,0
2736.70,2689.21,2738.38,2689.21,-,0.02
2696.45,2736.7,2748.39,2657.04,-,-0.01
2698.97,2696.45,2711.54,2635.5,-,0
2750.92,2698.97,2753.07,2698.95,-,0.02
2748.25,2751.15,2776.64,2741.98,-,0
2720.98,2748.25,2748.25,2720.36,-,-0.01
2825.30,2720.98,2826.05,2720.98,-,0.04
2846.24,2825.38,2848.46,2803.41,-,0.01
2886.80,2846.24,2891.94,2826.85,-,0.01
2947.14,2886.8,2947.14,2879.36,-,0.02
2832.18,2947.14,2947.14,2831.24,-,-0.04
2705.97,2832.18,2853.52,2596.77,-,-0.04
2859.00,2705.97,2889.96,2705.97,-,0.06
2905.50,2859.07,2905.61,2839.1,-,0.02
2882.13,2905.5,2966.59,2813.61,-,-0.01
3001.59,2882.13,3001.59,2860.86,-,0.04
2973.63,3001.59,3036.5,2959.62,-,-0.01
2744.21,2973.63,2973.63,2744.07,-,-0.08
2794.09,2744.21,2865.43,2723.86,-,0.02
2803.58,2794.09,2821.15,2696.81,-,0
2830.51,2736.67,2861.12,2736.67,-,0.01
2824.66,2830.69,2914.7,2814.08,-,0
2811.89,2824.66,2846.55,2731.71,-,0
2887.07,2811.89,2890.79,2783.59,-,0.03
2983.49,2887.07,2993.51,2887.07,-,0.03
2939.23,2983.56,3004.74,2936.17,-,-0.01
2977.81,2939.29,2986.57,2938.24,-,0.01
3033.92,2978.11,3033.94,2940.29,-,0.02
3060.16,3033.92,3087.97,3033.92,-,0.01
3070.82,3060.16,3090.42,3053.04,-,0
3032.73,3070.82,3079.46,3020.04,-,-0.01
2973.39,3032.73,3032.73,2937.45,-,-0.02
3042.44,2973.39,3047.19,2945.43,-,0.02
3106.53,3044.44,3112.82,3042.75,-,0.02
3105.71,3097.6,3126.07,3075.69,-,0
3074.72,3105.71,3177.46,3057.2,-,-0.01
3113.22,3074.92,3113.22,3010.29,-,0.01
3126.43,3113.69,3163.18,3104.44,-,0
3130.81,3126.44,3154.07,3088.01,-,0
3178.37,3130.84,3179.5,3113.12,-,0.02
3235.04,3178.37,3253.39,3178.37,-,0.02
3147.21,3235.36,3235.36,3135.12,-,-0.03
3207.58,3147.21,3220.45,3141.63,-,0.02
3206.61,3207.59,3233.44,3160.45,-,0
3233.37,3206.61,3237.27,3176.24,-,0.01
3161.87,3233.37,3274.72,3130.26,-,-0.02
3041.09,3161.87,3161.87,2923.79,-,-0.04
3006.28,3041.32,3089.89,2989.31,-,-0.01
2924.85,3006.28,3049.07,2881.3,-,-0.03
2953.76,2924.85,3011.22,2816.19,-,0.01
2997.96,2953.76,3054.5,2905.44,-,0.02
2926.00,2997.96,2997.96,2844.33,-,-0.02
2748.32,2926.05,2926.05,2743.03,-,-0.06
2916.87,2748.35,2916.87,2748.35,-,0.06
2769.51,2916.87,2988.24,2758.31,-,-0.05
2769.44,2769.51,2878.83,2740.47,-,0
2550.06,2769.45,2777.42,2538.6,-,-0.08
2644.31,2550.06,2688.08,2480.02,-,0.04
2648.06,2644.31,2686.44,2533.09,-,0
